Model,PMID,QID,Type,Question,Human Answer,Model Answer,annotation_verdict,verdict,note
GPT-4o FT,36645792,5,Number,How many individuals had samples obtained for HIV sequencing?,"120 * 76% = 95, or 120 or 129",6,ambiguous,annotation/convention,"ambiguous: annotation hedges: '120 * 76% = 95, or 120 or 129'"
GPT-4o FT,36645792,7,List,From what years were the sequenced samples obtained?,Not reported,2020-2021,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,36645792,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",IN,ok,model error,
GPT-4o FT,36659824,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o FT,36659824,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36659824,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36659824,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36659824,16,List,Which drugs were received by individuals in the study before sample sequencing?,"BIC, FTC, TAF",No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,0,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,36659824,6,List,From which countries were the sequenced samples obtained?,France,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36659824,7,List,From what years were the sequenced samples obtained?,2019-2020,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36659824,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36660819,11,List,What type of samples were sequenced?,Not reported,PBMC,ok,model error,
GPT-4o FT,36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,1045,ambiguous,annotation/convention,ambiguous: annotation hedges: '8 and 10'
GPT-4o FT,36694270,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, PI, NNRTI, INSTI",NRTI,ok,model error,
GPT-4o FT,36694270,16,List,Which drugs were received by individuals in the study before sample sequencing?,"3TC, TDF, EFV, LPV/r, EVG, ABC, DTG",No,ok,model error,
GPT-4o FT,36706364,5,Number,How many individuals had samples obtained for HIV sequencing?,62 or 3,0,ambiguous,annotation/convention,ambiguous: annotation hedges: '62 or 3'
GPT-4o FT,36706364,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",No,ok,model error,
GPT-4o FT,36779485,11,List,What type of samples were sequenced?,Plasma,No,ok,model error,
GPT-4o FT,36851704,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,36851704,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"TDF, FTC, 3TC, DTG, ATV/r, LPV/r",ok,model error,
GPT-4o FT,36967989,9,List,Which HIV genes were reported to have been sequenced?,PR,No,ok,model error,
GPT-4o FT,36982978,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o FT,36982978,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36982978,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36982978,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, PI, INSTI",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36982978,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Lamivudine (3TC), Abacavir (ABC), Zidovudine (AZT), Stavudine (D4T), Emtricitabine (FTC), Didanosine (DDI), Tenofovir (TFV), Tenofovir alafenamide (TAF), Darunavir, Saquinavir, Lopinavir",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,36982978,9,List,Which HIV genes were reported to have been sequenced?,Not reported,"RT, IN",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37071019,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37104815,11,List,What type of samples were sequenced?,"Whole Blood, Semen",Plasma; PBMC,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37147875,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,ok,model error,
GPT-4o FT,37272233,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37279764,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,
GPT-4o FT,37279764,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,ok,model error,
GPT-4o FT,37340869,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o FT,37340869,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37340869,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37340869,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NNRTI, INSTI",No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37340869,16,List,Which drugs were received by individuals in the study before sample sequencing?,"CAB, RPV",No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37340869,5,Number,How many individuals had samples obtained for HIV sequencing?,1651,0,ok,model error,
GPT-4o FT,37340869,9,List,Which HIV genes were reported to have been sequenced?,RT,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37376649,11,List,What type of samples were sequenced?,PBMC,Whole Blood,ambiguous,annotation/convention,ambiguous: paper says whole blood was used for the GenoSure Archive assay; annotation says PBMC
GPT-4o FT,37439411,15,List,Which drug classes were received by individuals in the study before sample sequencing?,NNRTI,No,ok,model error,
GPT-4o FT,37498738,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,ok,model error,
GPT-4o FT,37515095,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT,37537871,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing, Oxford nanopore",Oxford Nanopore sequencing,ok,model error,
GPT-4o FT,37537871,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,
GPT-4o FT,37537871,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o FT,37541705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o FT,37541705,16,List,Which drugs were received by individuals in the study before sample sequencing?,"LPV, DTG, RAL, ABC, 3TC","Lopinavir (LPV), Dolutegravir (DTG), Raltegravir (RAL)",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37541705,6,List,From which countries were the sequenced samples obtained?,"Botswana, South Africa, Thailand, and the U.S.",No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37541705,7,List,From what years were the sequenced samples obtained?,2020-2021,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37541705,9,List,Which HIV genes were reported to have been sequenced?,RT,No,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37546367,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI",No,ok,model error,
GPT-4o FT,37554471,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI, INSTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT,37554471,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Etravirine (ETR), Dolutegravir (DTG), Darunavir (DRV), Ritonavir (RTV), Tenofovir (TFV), Lamivudine (3TC), Emtricitabine (FTC), Abacavir (ABC), Efavirenz (EFV)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT,37554471,5,Number,How many individuals had samples obtained for HIV sequencing?,1,0,ok,model error,
GPT-4o FT,37554471,9,List,Which HIV genes were reported to have been sequenced?,RT,No,ok,model error,
GPT-4o FT,37574435,5,Number,How many individuals had samples obtained for HIV sequencing?,70 or 79,0,ambiguous,annotation/convention,ambiguous: annotation hedges: '70 or 79'
GPT-4o FT,37574435,9,List,Which HIV genes were reported to have been sequenced?,RT,No,ok,model error,
GPT-4o FT,37585352,11,List,What type of samples were sequenced?,PBMC,No,ok,model error,
GPT-4o FT,37585352,9,List,Which HIV genes were reported to have been sequenced?,Pol,Near full length genome,ok,model error,
GPT-4o FT,37593123,11,List,What type of samples were sequenced?,Plasma,No,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,0,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37632026,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, D4T, XTC, TDF, ATV, LPV, DRV","NRTI (Nucleoside Reverse Transcriptase Inhibitor), including Abacavir (ABC), Zidovudine (AZT), Lamivudine (3TC), Emtricitabine (FTC), Tenofovir (TFV); NNRTI (Non-Nucleosid Reverse Transcriptase Inhibitor), including Nevirapine (NVP), Efavirenz (EFV); PI (Protease Inhibitor), including Lopinavir (LPV), Atazanavir (ATV), Darunavir (DRV)",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37674678,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,ambiguous,annotation/convention,"ambiguous: the quoted text is the journal's data-deposition policy statement, not evidence of an actual deposition"
GPT-4o FT,37701387,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o FT,37701387,6,List,From which countries were the sequenced samples obtained?,Italy,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37701387,7,List,From what years were the sequenced samples obtained?,2020-2021,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT,37755428,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT,37755428,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, INSTI",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37755428,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Tenofovir (TFV), Lamivudine (3TC), Dolutegravir (DTG)",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37775947,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT,37775947,6,List,From which countries were the sequenced samples obtained?,"South America, Africa, USA, Asia, Australia, Europe",No,ok,model error,
GPT-4o FT,37823653,9,List,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",Near full length genome,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT,37872202,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,ok,model error,
GPT-4o FT,37872202,9,List,Which HIV genes were reported to have been sequenced?,gp120,No,ok,model error,
GPT-4o FT,37896785,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT,37896785,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Lamivudine (3TC), Emtricitabine (FTC), Nevirapine (NVP), Delavirdine (DLV), Efavirenz (EFV), Etravirine (ETR), Rilpivirine (RPV), Darunavir (DRV), Lopinavir (LPV), Atazanavir (ATV)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
